,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year,Age,Displacement_Group,MPG_Efficiency_City,MPG_Efficiency_Highway,MPG_Efficiency_Combined
0,0,0,0,25,midsize car,29,4.0,2.5,FWD,gas,36,mazda,6,m,2014,12,Low,Low,Low,Low
1,1,1,1,26,midsize car,30,4.0,2.5,FWD,gas,37,mazda,6,a,2014,12,Low,Low,Low,Low
2,2,2,2,25,small sport utility vehicle,27,4.0,2.5,FWD,gas,31,mazda,cx-5 2wd,a,2014,12,Low,Low,Low,Low
3,3,3,3,26,small sport utility vehicle,29,4.0,2.0,FWD,gas,34,mazda,cx-5 2wd,m,2014,12,Low,Low,Low,Low
4,4,4,4,26,small sport utility vehicle,28,4.0,2.0,FWD,gas,32,mazda,cx-5 2wd,a,2014,12,Low,Low,Low,Low
5,5,5,5,24,small sport utility vehicle,26,4.0,2.5,4WD,gas,29,mazda,cx-5 4wd,a,2014,12,Low,Low,Low,Low
6,6,6,6,25,small sport utility vehicle,27,4.0,2.0,4WD,gas,30,mazda,cx-5 4wd,a,2014,12,Low,Low,Low,Low
7,7,7,7,19,subcompact car,22,6.0,3.7,RWD,gas,29,ford,mustang,m,2014,12,Low,Low,Low,Low
8,8,8,8,19,subcompact car,23,6.0,3.7,RWD,gas,30,ford,mustang,a,2014,12,Low,Low,Low,Low
9,9,9,9,15,subcompact car,18,8.0,5.8,RWD,gas,24,ford,mustang,m,2014,12,Low,Low,Low,Low
10,10,10,10,18,subcompact car,20,8.0,5.0,RWD,gas,25,ford,mustang,a,2014,12,Low,Low,Low,Low
11,11,11,11,22,small sport utility vehicle,24,4.0,2.5,AWD,gas,28,subaru,forester awd,m,2014,12,Low,Low,Low,Low
12,12,12,12,24,small sport utility vehicle,27,4.0,2.5,AWD,gas,31,subaru,forester awd,a,2014,12,Low,Low,Low,Low
13,13,13,13,23,small sport utility vehicle,25,4.0,2.0,AWD,gas,27,subaru,forester awd,a,2014,12,Low,Low,Low,Low
14,14,14,14,19,subcompact car,23,6.0,3.7,RWD,gas,29,ford,mustang convertible,a,2014,12,Low,Low,Low,Low
15,15,15,15,16,subcompact car,19,8.0,5.0,RWD,gas,25,ford,mustang,m,2014,12,Low,Low,Low,Low
16,16,16,16,16,subcompact car,19,6.0,3.8,AWD,gas,23,nissan,gt-r,a,2014,12,Low,Low,Low,Low
17,17,17,17,24,large car,28,6.0,3.0,AWD,diesel,36,audi,a8 l,a,2014,12,Low,Low,Low,Low
18,18,18,18,20,small sport utility vehicle,22,4.0,2.4,FWD,gas,26,kia,sorento 2wd,a,2014,12,Low,Low,Low,Low
19,19,19,19,19,small sport utility vehicle,21,4.0,2.4,FWD,gas,27,kia,sorento 2wd,m,2014,12,Low,Low,Low,Low
20,20,20,20,18,small sport utility vehicle,21,6.0,3.3,FWD,gas,25,kia,sorento 2wd,a,2014,12,Low,Low,Low,Low
21,21,21,21,19,small sport utility vehicle,21,4.0,2.4,4WD,gas,24,kia,sorento 4wd,a,2014,12,Low,Low,Low,Low
22,22,22,22,18,small sport utility vehicle,20,6.0,3.3,4WD,gas,23,kia,sorento 4wd,a,2014,12,Low,Low,Low,Low
23,23,23,23,17,small sport utility vehicle,19,6.0,3.5,AWD,gas,22,nissan,murano crosscabriolet,a,2014,12,Low,Low,Low,Low
24,24,24,24,13,two seater,16,10.0,5.2,AWD,gas,22,audi,r8 spyder,a,2014,12,Low,Low,Low,Low
25,25,25,25,13,two seater,16,10.0,5.2,AWD,gas,22,audi,r8,a,2014,12,Low,Low,Low,Low
26,26,26,26,14,two seater,17,8.0,4.2,AWD,gas,23,audi,r8 spyder,a,2014,12,Low,Low,Low,Low
27,27,27,27,14,two seater,17,8.0,4.2,AWD,gas,23,audi,r8,a,2014,12,Low,Low,Low,Low
28,28,28,28,12,two seater,14,10.0,5.2,AWD,gas,19,audi,r8 spyder,m,2014,12,Low,Low,Low,Low
29,29,29,29,12,two seater,14,10.0,5.2,AWD,gas,19,audi,r8,m,2014,12,Low,Low,Low,Low
30,30,30,30,11,two seater,14,8.0,4.2,AWD,gas,20,audi,r8 spyder,m,2014,12,Low,Low,Low,Low
31,31,31,31,11,two seater,14,8.0,4.2,AWD,gas,20,audi,r8,m,2014,12,Low,Low,Low,Low
32,32,32,32,13,minicompact car,15,12.0,5.9,RWD,gas,19,aston martin,db9,a,2014,12,Low,Low,Low,Low
33,33,33,33,13,minicompact car,15,12.0,5.9,RWD,gas,19,aston martin,vanquish,a,2014,12,Low,Low,Low,Low
34,34,34,34,13,subcompact car,15,12.0,5.9,RWD,gas,19,aston martin,rapide s,a,2014,12,Low,Low,Low,Low
35,35,35,35,14,subcompact car,17,8.0,5.0,RWD,gas,22,roush performance,stage 3 mustang,m,2014,12,Low,Low,Low,Low
36,36,36,36,21,small sport utility vehicle,24,4.0,2.4,FWD,gas,28,jeep,compass fwd,a,2014,12,Low,Low,Low,Low
37,37,37,37,21,small sport utility vehicle,24,4.0,2.4,FWD,gas,28,jeep,patriot fwd,a,2014,12,Low,Low,Low,Low
38,38,38,38,21,small sport utility vehicle,24,4.0,2.0,FWD,gas,28,jeep,compass fwd,a,2014,12,Low,Low,Low,Low
39,39,39,39,21,small sport utility vehicle,24,4.0,2.0,FWD,gas,28,jeep,patriot fwd,a,2014,12,Low,Low,Low,Low
40,40,40,40,23,small sport utility vehicle,25,4.0,2.4,FWD,gas,28,jeep,patriot fwd,m,2014,12,Low,Low,Low,Low
41,41,41,41,23,small sport utility vehicle,25,4.0,2.4,FWD,gas,28,jeep,compass fwd,m,2014,12,Low,Low,Low,Low
42,42,42,42,23,small sport utility vehicle,25,4.0,2.0,FWD,gas,30,jeep,compass fwd,m,2014,12,Low,Low,Low,Low
43,43,43,43,21,small sport utility vehicle,23,4.0,2.4,4WD,gas,27,jeep,compass 4wd,a,2014,12,Low,Low,Low,Low
44,44,44,44,21,small sport utility vehicle,23,4.0,2.4,4WD,gas,27,jeep,patriot 4wd,a,2014,12,Low,Low,Low,Low
45,45,45,45,23,small sport utility vehicle,25,4.0,2.4,4WD,gas,28,jeep,compass 4wd,m,2014,12,Low,Low,Low,Low
46,46,46,46,23,small sport utility vehicle,25,4.0,2.4,4WD,gas,28,jeep,patriot 4wd,m,2014,12,Low,Low,Low,Low
47,47,47,47,13,standard sport utility vehicle,15,8.0,6.4,4WD,gas,19,jeep,grand cherokee srt8,a,2014,12,Low,Low,Low,Low
48,48,48,48,14,standard sport utility vehicle,17,8.0,4.8,AWD,gas,21,porsche,cayenne turbo,a,2014,12,Low,Low,Low,Low
49,49,49,49,15,subcompact car,17,8.0,5.0,RWD,gas,22,roush performance,stage 3 mustang,a,2014,12,Low,Low,Low,Low
50,50,50,50,16,subcompact car,19,6.0,3.8,AWD,gas,23,nissan,gt-r,a,2015,11,Low,Low,Low,Low
51,51,51,51,20,compact car,23,5.0,2.5,AWD,gas,28,volvo,s60 awd,a,2015,11,Low,Low,Low,Low
52,52,52,52,26,midsize car,30,4.0,2.5,FWD,gas,37,mazda,6,a,2015,11,Low,Low,Low,Low
53,53,53,53,28,midsize car,32,4.0,2.5,FWD,gas,39,mazda,6,a,2015,11,Low,Low,Low,Low
54,54,54,54,25,midsize car,29,4.0,2.5,FWD,gas,35,mazda,6,m,2015,11,Low,Low,Low,Low
55,55,55,55,18,large car,21,6.0,3.8,RWD,gas,26,kia,k900,a,2015,11,Low,Low,Low,Low
56,56,56,56,15,large car,18,8.0,5.0,RWD,gas,23,kia,k900,a,2015,11,Low,Low,Low,Low
57,57,57,57,18,small sport utility vehicle,21,6.0,3.3,FWD,gas,25,kia,sorento fwd,a,2015,11,Low,Low,Low,Low
58,58,58,58,26,small sport utility vehicle,28,4.0,2.0,FWD,gas,32,mazda,cx-5 2wd,a,2015,11,Low,Low,Low,Low
59,59,59,59,26,small sport utility vehicle,29,4.0,2.0,FWD,gas,34,mazda,cx-5 2wd,m,2015,11,Low,Low,Low,Low
60,60,60,60,25,small sport utility vehicle,27,4.0,2.5,FWD,gas,31,mazda,cx-5 2wd,a,2015,11,Low,Low,Low,Low
61,61,61,61,19,small sport utility vehicle,21,4.0,2.4,AWD,gas,25,kia,sorento awd,a,2015,11,Low,Low,Low,Low
62,62,62,62,18,small sport utility vehicle,20,6.0,3.3,AWD,gas,23,kia,sorento awd,a,2015,11,Low,Low,Low,Low
63,63,63,63,25,small sport utility vehicle,27,4.0,2.0,4WD,gas,30,mazda,cx-5 4wd,a,2015,11,Low,Low,Low,Low
64,64,64,64,24,small sport utility vehicle,26,4.0,2.5,4WD,gas,29,mazda,cx-5 4wd,a,2015,11,Low,Low,Low,Low
65,65,65,65,17,small sport utility vehicle,20,6.0,3.0,AWD,gas,24,volvo,xc60 awd,a,2015,11,Low,Low,Low,Low
66,66,66,66,17,small sport utility vehicle,20,6.0,3.0,AWD,gas,24,volvo,xc70 awd,a,2015,11,Low,Low,Low,Low
67,67,67,67,22,two seater,26,4.0,2.0,AWD,gas,31,audi,tt roadster quattro,a,2015,11,Low,Low,Low,Low
68,68,68,68,22,subcompact car,26,4.0,2.0,AWD,gas,31,audi,tt coupe quattro,a,2015,11,Low,Low,Low,Low
69,69,69,69,21,compact car,24,4.0,2.0,AWD,gas,28,subaru,wrx,m,2015,11,Low,Low,Low,Low
70,70,70,70,17,compact car,19,4.0,2.5,AWD,gas,23,subaru,wrx,m,2015,11,Low,Low,Low,Low
71,71,71,71,19,compact car,22,6.0,3.0,AWD,gas,28,volvo,s60 awd,a,2015,11,Low,Low,Low,Low
72,72,72,72,19,midsize car,22,6.0,3.0,AWD,gas,28,volvo,s80 awd,a,2015,11,Low,Low,Low,Low
73,73,73,73,20,small station wagon,23,5.0,2.5,AWD,gas,28,volvo,v60 awd,a,2015,11,Low,Low,Low,Low
74,74,74,74,19,small station wagon,22,6.0,3.0,AWD,gas,28,volvo,v60 awd,a,2015,11,Low,Low,Low,Low
75,75,75,75,16,standard pickup truck,19,8.0,5.3,RWD,gas,23,chevrolet,silverado c15 2wd,a,2015,11,Low,Low,Low,Low
76,76,76,76,16,standard pickup truck,19,8.0,5.3,RWD,gas,23,gmc,sierra c15 2wd,a,2015,11,Low,Low,Low,Low
77,77,77,77,16,standard pickup truck,18,8.0,5.3,4WD,gas,22,chevrolet,silverado k15 4wd,a,2015,11,Low,Low,Low,Low
78,78,78,78,16,standard pickup truck,18,8.0,5.3,4WD,gas,22,gmc,sierra k15 4wd,a,2015,11,Low,Low,Low,Low
79,79,79,79,20,small sport utility vehicle,23,4.0,2.4,FWD,gas,27,kia,sorento fwd,a,2015,11,Low,Low,Low,Low
80,80,80,80,15,standard sport utility vehicle,17,8.0,6.2,RWD,gas,21,cadillac,escalade 2wd,a,2015,11,Low,Low,Low,Low
81,81,81,81,15,standard sport utility vehicle,17,8.0,6.2,RWD,gas,21,cadillac,escalade esv 2wd,a,2015,11,Low,Low,Low,Low
82,82,82,82,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,chevrolet,tahoe c1500 2wd,a,2015,11,Low,Low,Low,Low
83,83,83,83,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,chevrolet,suburban c1500 2wd,a,2015,11,Low,Low,Low,Low
84,84,84,84,15,standard sport utility vehicle,17,8.0,6.2,RWD,gas,21,gmc,yukon c1500 2wd,a,2015,11,Low,Low,Low,Low
85,85,85,85,15,standard sport utility vehicle,17,8.0,6.2,RWD,gas,21,gmc,yukon c1500 xl 2wd,a,2015,11,Low,Low,Low,Low
86,86,86,86,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,gmc,yukon c1500 2wd,a,2015,11,Low,Low,Low,Low
87,87,87,87,16,standard sport utility vehicle,18,8.0,5.3,RWD,gas,23,gmc,yukon c1500 xl 2wd,a,2015,11,Low,Low,Low,Low
88,88,88,88,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,21,cadillac,escalade 4wd,a,2015,11,Low,Low,Low,Low
89,89,89,89,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,20,cadillac,escalade esv 4wd,a,2015,11,Low,Low,Low,Low
90,90,90,90,16,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,chevrolet,tahoe k1500 4wd,a,2015,11,Low,Low,Low,Low
91,91,91,91,15,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,chevrolet,suburban k1500 4wd,a,2015,11,Low,Low,Low,Low
92,92,92,92,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,20,gmc,yukon k1500 xl 4wd,a,2015,11,Low,Low,Low,Low
93,93,93,93,14,standard sport utility vehicle,16,8.0,6.2,4WD,gas,21,gmc,yukon k1500 4wd,a,2015,11,Low,Low,Low,Low
94,94,94,94,15,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,gmc,yukon k1500 xl 4wd,a,2015,11,Low,Low,Low,Low
95,95,95,95,16,standard sport utility vehicle,18,8.0,5.3,4WD,gas,22,gmc,yukon k1500 4wd,a,2015,11,Low,Low,Low,Low
96,96,96,96,16,two seater,18,8.0,5.0,RWD,gas,23,jaguar,f-type v8 s convertible,a,2015,11,Low,Low,Low,Low
97,97,97,97,16,two seater,18,8.0,5.0,RWD,gas,23,jaguar,f-type r coupe,a,2015,11,Low,Low,Low,Low
98,98,98,98,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type convertible,a,2015,11,Low,Low,Low,Low
99,99,99,99,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type coupe,a,2015,11,Low,Low,Low,Low
100,100,100,100,26,midsize car,30,4.0,2.5,FWD,gas,37,mazda,6,a,2016,10,Low,Low,Low,Low
101,101,101,101,28,midsize car,32,4.0,2.5,FWD,gas,38,mazda,6,a,2016,10,Low,Low,Low,Low
102,102,102,102,25,midsize car,29,4.0,2.5,FWD,gas,36,mazda,6,m,2016,10,Low,Low,Low,Low
103,103,103,103,18,small sport utility vehicle,21,6.0,3.3,AWD,gas,25,kia,sorento fe awd,a,2016,10,Low,Low,Low,Low
104,104,104,104,20,small sport utility vehicle,23,4.0,2.0,FWD,gas,27,kia,sorento fwd,a,2016,10,Low,Low,Low,Low
105,105,105,105,21,small sport utility vehicle,24,4.0,2.4,FWD,gas,28,kia,sorento fwd,a,2016,10,Low,Low,Low,Low
106,106,106,106,18,small sport utility vehicle,20,6.0,3.3,FWD,gas,25,kia,sorento fwd,a,2016,10,Low,Low,Low,Low
107,107,107,107,26,small sport utility vehicle,29,4.0,2.0,FWD,gas,34,mazda,cx-5 2wd,m,2016,10,Low,Low,Low,Low
